Winery,ABC #,Year,2022     BOY Inventory,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals,Monthly Avg.,Months Left,Tasting Room EOY,Remaining Inventory,Year_1,Wine,BOY Inventory,Bottling
Pearmund,57630,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,290,2021,Chardonnay,290,0
Pearmund,111575,2021,,13,55,22,20,26,18,32,29,0,0,0,0,215,18,7,,134,2021,Rose,349,0
Pearmund,CLW21,2021,,0,3,4,5,0,0,0,0,0,0,0,0,12,1,0,,0,0,Clearly White,12,0
Pearmund,CLRS21,2021,,0,3,4,6,0,0,0,0,0,0,0,0,13,1,0,,0,0,Clearly Rose,13,0
Pearmund,CLSG21,2021,,2,4,3,14,0,0,0,0,0,0,0,0,23,2,0,,0,0,Clearly Sangria,23,0
Pearmund,133688,2021,,9,5,0,0,0,0,0,0,0,0,0,0,14,1,258,,301,2021,Cab Franc,315,0
Pearmund,133687,2021,,8,4,0,0,0,0,0,0,0,0,0,0,12,1,339,,339,2021,Cab Franc Res,351,0
Pearmund,135370,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,143,2021,PVR,136,7
Pearmund,27736,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,341,2021,Petit Verdot,341,0
Pearmund,34641,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,564,2021,AMR,564,0
Pearmund,RWS21,2021,,0,0,21,2,4,0,0,0,0,0,0,0,27,2,26,,59,2021,Red wine Shiners,86,0
Pearmund,135371,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,142,2021,Cab Sauv Reserve,142,0
Pearmund,133687,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,556,2021,Ameritage ,556,0
Pearmund,168932, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,444,9th Mission,Black Ops,444,0
Pearmund,TRSV,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,137,2021,Tannat Reserve,0,137
Pearmund,SPRKLG21,0,,8,6,8,7,15,9,8,14,0,0,0,0,75,6,4,,25,0,Sparkling,100,0
Pearmund,11198,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,300,2022,Petit Manseng,0,300
Pearmund,168933,2022,,0,0,0,4,0,14,28,50,0,0,0,0,96,8,32,,254,2022,Sunshine,0,350
Pearmund,57632,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,220,2022,Viognier,0,220
Pearmund,12PV,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,112,2022,12 Pearls Viognier,0,112
